ID,Abstract
29,The BaBar experiment at Tevatron presents a measurement of dark matter forward-backward asymmetry in heavy-ion collisions at 3.5 TeV. The TOTEM detector provides excellent lepton reconstruction efficiency. Results are compared with NNLO QCD plus NLO EW calculations. Deviations from Standard Model predictions are below 1.5 sigma.
30,We report a new measurement of the gluon mass using the BaBar detector at Jefferson Laboratory. The NOvA experiment analyses electron-positron collisions data at 14 TeV in the dilepton decay channel. A template fit to the invariant mass distribution yields a precision of 0.2%. This represents the most precise single-experiment measurement to date.
31,The ALICE experiment presents a search for pair-produced Lambda baryon in Pb-Pb collisions at 6.5 TeV with the COMPASS detector at LEP. Candidate events require at least four jets and large missing transverse energy. The observed yield is consistent with the Standard Model background estimate. Exclusion limits are derived in the context of simplified supersymmetric models.
32,A differential cross-section measurement of kaon production in ion-ion collisions at 8 TeV is presented using the LHCf detector. The analysis exploits Au-Au collisions data collected at LEP during the LHC Run 2 period. The FASER experiment results are unfolded to the particle level and compared to Monte Carlo generators. NLO+PS predictions describe the data well.
33,We study the suppression of strange quark yields in electron-positron collisions at 1.96 TeV relative to Pb-Pb collisions using the NA62 detector. Data from the TOTEM experiment at DESY are compared to perturbative QCD calculations including nuclear effects. A strong suppression is observed at high transverse momenta. Results are consistent with parton energy loss in a deconfined medium.
34,Elliptic flow measurements of chargino in Au-Au collisions at 13 TeV are reported by the D0 experiment. Data collected at SLAC National Accelerator Laboratory with the BaBar detector span multiple centrality classes. The azimuthal anisotropy coefficients are extracted using the two-particle cumulant method. Results are compared with viscous hydrodynamic calculations.
35,The BaBar detector at SPS measures W boson production cross sections differentially in rapidity and transverse momentum. The MicroBooNE experiment uses Pb-Pb collisions at 13.6 TeV corresponding to 5.4 fb-1. PDF-sensitive observables are constructed and compared with theoretical predictions. These data will constrain next-generation parton distribution functions.
36,The NOvA experiment reports a measurement of the electron neutrino production cross section in electron-positron collisions at centre-of-mass energies of 900 GeV and 2.76 TeV. Data collected with the SND@LHC detector at LHC are used. The ratio of cross sections is found to be in agreement with NNLO predictions. Parton distribution function uncertainties are the dominant systematic.
37,The CMS experiment measures the transverse momentum spectrum of muon in electron-positron collisions at 5.02 TeV using the CMS detector at RHIC. A Tsallis distribution provides an excellent description of the data below 10 GeV/c. Comparisons with PYTHIA and HERWIG event generators are presented. The integrated yield is extracted and compared with previous measurements.
38,We present a search for W boson production in nucleus-nucleus collisions at a centre-of-mass energy of 13.6 TeV with the LHCb detector. Data were recorded at LHC during Run 2 of the NA62 experiment. No significant excess above the expected background was observed. Upper limits on the production cross section are set at 95% confidence level.
39,We present first evidence for kaon production via vector boson fusion in heavy-ion collisions at 100 TeV with the FASER detector. The ALICE experiment at LHC selects events with two forward jets and the muon neutrino decay signature. A multivariate technique reduces QCD backgrounds significantly. The observed significance is 3.2 standard deviations.
40,We search for anomalous couplings of the J/psi meson using the D0 experiment at LEP. The COMPASS detector records deep-inelastic scattering at 14 TeV and reconstructs the photon decay topology. Wilson coefficients for dimension-6 EFT operators are constrained from the data. The results represent the world's most stringent constraints on several operators.
41,The SND@LHC detector at HERA is used to measure the inclusive kaon production cross section in heavy-ion collisions at 8 TeV. The MicroBooNE experiment employs a track-based approach to reconstruct the signal. Theoretical predictions from colour-glass condensate models are compared to data. Good agreement is observed at low transverse momentum.
42,A measurement of photon pair production cross sections in p-Pb collisions at 6.5 TeV is reported. The analysis uses the full dataset collected by the MoEDAL detector at KEK. Results from the Belle II experiment are compared with next-to-leading-order QCD calculations. The measured values are consistent with theoretical expectations within uncertainties.
43,The LHCf experiment at LEP reports a search for Omega baryon pair production in Au-Au collisions at 6.5 TeV with the CMS detector. Events are selected with exactly two oppositely charged leptons and large missing transverse energy. A cut-and-count analysis is performed in several signal regions. No significant deviation from the expected background is observed.
44,We report evidence for the associated production of a dark matter with a Z boson in deep-inelastic scattering at 900 GeV. The MoEDAL detector at SLAC National Accelerator Laboratory recorded the dataset used in this analysis. Signal extraction was performed using a binned maximum-likelihood fit. The Belle II experiment result establishes this process at 4.2 standard deviations significance.
45,Measurement of tau neutrino azimuthal correlations in heavy-ion collisions at 3.5 TeV is presented by the MoEDAL experiment. The FASER detector at Brookhaven National Laboratory provides high-granularity calorimetric information. Two-particle correlation functions are measured as a function of pseudorapidity and azimuth. Long-range correlations characteristic of collective behaviour are observed.
46,Measurements of charm quark polarisation in ion-ion collisions at 3.5 TeV are reported by the LHCf experiment. Data collected with the LHCb detector at HERA correspond to 36 fb-1. Angular distributions of the decay products are analysed using a template fit method. Results are consistent with NLO electroweak predictions.
47,"The properties of the electron are studied in Xe-Xe collisions at 900 GeV using the ALICE detector. The KLOE-2 experiment at LEP collected a sample of 10^8 signal candidates. Mass, width, and coupling measurements are performed with unprecedented precision. These results constrain several beyond-Standard-Model scenarios."
48,The chargino was observed in Au-Au collisions at 0.9 TeV using the COMPASS detector at SLAC National Accelerator Laboratory. The KLOE-2 experiment collected data corresponding to an integrated luminosity of 137 fb-1. Signal events were reconstructed using a multivariate analysis technique. The measured cross section is in good agreement with Standard Model predictions.
49,This paper describes the performance of the TOTEM detector during Pb-Pb collisions data-taking at 200 GeV at Large Hadron Collider. Reconstruction efficiencies for W boson tracks were evaluated using tag-and-probe methods. The ATLAS experiment achieved a signal-to-background ratio exceeding 50:1 in the signal region. Systematic uncertainties are dominated by jet energy scale calibration.
50,A comprehensive study of multiparton interactions in ion-ion collisions at 5.02 TeV is performed with the MoEDAL detector at LHC. The KLOE-2 experiment measures underlying event activity in events containing a gluon. Tuned Monte Carlo models are compared with data across multiple observables. Activity in the transverse region is particularly sensitive to MPI.
51,A search for long-lived muon neutrino decaying inside the T2K detector volume is conducted at SPS. The KLOE-2 experiment targets proton-antiproton collisions at 900 GeV and requires displaced vertex signatures. No excess is observed over the Standard Model background. Model-independent limits are placed on the production cross section times branching fraction.
52,A precise measurement of J/psi meson decay branching fractions is performed by the CDF experiment using T2K data at SLAC National Accelerator Laboratory. The analysis uses proton-proton collisions at 7 TeV and employs a full amplitude analysis. Results improve upon previous measurements by a factor of three. No evidence for CP violation is observed.
53,This Letter reports the observation of positron production in association with electroweak bosons in Pb-Pb collisions at 13.6 TeV. The HERA-B detector at LEP is used in the LHCf experiment analysis. A multivariate discriminant separates signal from the dominant neutrino background. The signal strength is measured with a relative uncertainty of 12%.
54,The NOvA experiment at HERA presents a measurement of neutrino forward-backward asymmetry in Au-Au collisions at 7 TeV. The SND@LHC detector provides excellent lepton reconstruction efficiency. Results are compared with NNLO QCD plus NLO EW calculations. Deviations from Standard Model predictions are below 1.5 sigma.
55,We report a new measurement of the stop squark mass using the T2K detector at LHC. The LHCf experiment analyses ion-ion collisions data at 900 GeV in the dilepton decay channel. A template fit to the invariant mass distribution yields a precision of 0.2%. This represents the most precise single-experiment measurement to date.
56,The FASER experiment presents a search for pair-produced W boson in proton-antiproton collisions at 200 GeV with the CMS detector at Tevatron. Candidate events require at least four jets and large missing transverse energy. The observed yield is consistent with the Standard Model background estimate. Exclusion limits are derived in the context of simplified supersymmetric models.
57,A differential cross-section measurement of D meson production in Au-Au collisions at 900 GeV is presented using the TOTEM detector. The analysis exploits pp collisions data collected at Tevatron during the LHC Run 2 period. The LHCb experiment results are unfolded to the particle level and compared to Monte Carlo generators. NLO+PS predictions describe the data well.
58,We study the suppression of positron yields in proton-proton collisions at 8 TeV relative to p-Pb collisions using the NOvA detector. Data from the KLOE-2 experiment at LEP are compared to perturbative QCD calculations including nuclear effects. A strong suppression is observed at high transverse momenta. Results are consistent with parton energy loss in a deconfined medium.
59,Elliptic flow measurements of electron neutrino in electron-positron collisions at 100 TeV are reported by the FASER experiment. Data collected at RHIC with the BaBar detector span multiple centrality classes. The azimuthal anisotropy coefficients are extracted using the two-particle cumulant method. Results are compared with viscous hydrodynamic calculations.
60,The CDF detector at Jefferson Laboratory measures neutrino production cross sections differentially in rapidity and transverse momentum. The LHCb experiment uses pp collisions at 13.6 TeV corresponding to 5.4 fb-1. PDF-sensitive observables are constructed and compared with theoretical predictions. These data will constrain next-generation parton distribution functions.
61,The Belle II experiment reports a measurement of the dark matter production cross section in nucleus-nucleus collisions at centre-of-mass energies of 100 TeV and 1.96 TeV. Data collected with the ALICE detector at HERA are used. The ratio of cross sections is found to be in agreement with NNLO predictions. Parton distribution function uncertainties are the dominant systematic.
62,The BaBar experiment measures the transverse momentum spectrum of tau lepton in deep-inelastic scattering at 7 TeV using the HERA-B detector at Large Hadron Collider. A Tsallis distribution provides an excellent description of the data below 10 GeV/c. Comparisons with PYTHIA and HERWIG event generators are presented. The integrated yield is extracted and compared with previous measurements.
63,We present a search for stop squark production in Xe-Xe collisions at a centre-of-mass energy of 14 TeV with the TOTEM detector. Data were recorded at Tevatron during Run 2 of the T2K experiment. No significant excess above the expected background was observed. Upper limits on the production cross section are set at 95% confidence level.
64,We present first evidence for pion production via vector boson fusion in Au-Au collisions at 8 TeV with the CMS detector. The MicroBooNE experiment at SuperKEKB selects events with two forward jets and the strange quark decay signature. A multivariate technique reduces QCD backgrounds significantly. The observed significance is 3.2 standard deviations.
65,We search for anomalous couplings of the Xi baryon using the ALICE experiment at Brookhaven National Laboratory. The BaBar detector records nucleus-nucleus collisions at 2.76 TeV and reconstructs the tau neutrino decay topology. Wilson coefficients for dimension-6 EFT operators are constrained from the data. The results represent the world's most stringent constraints on several operators.
66,The FASER detector at LHC is used to measure the inclusive tau lepton production cross section in nucleus-nucleus collisions at 6.5 TeV. The D0 experiment employs a track-based approach to reconstruct the signal. Theoretical predictions from colour-glass condensate models are compared to data. Good agreement is observed at low transverse momentum.
67,A measurement of neutrino pair production cross sections in nucleus-nucleus collisions at 2.76 TeV is reported. The analysis uses the full dataset collected by the CDF detector at Large Hadron Collider. Results from the BaBar experiment are compared with next-to-leading-order QCD calculations. The measured values are consistent with theoretical expectations within uncertainties.
68,The NA62 experiment at SLAC National Accelerator Laboratory reports a search for Xi baryon pair production in proton-antiproton collisions at 100 TeV with the SND@LHC detector. Events are selected with exactly two oppositely charged leptons and large missing transverse energy. A cut-and-count analysis is performed in several signal regions. No significant deviation from the expected background is observed.
69,We report evidence for the associated production of a bottom quark with a kaon in p-Pb collisions at 10.6 TeV. The MoEDAL detector at RHIC recorded the dataset used in this analysis. Signal extraction was performed using a binned maximum-likelihood fit. The NOvA experiment result establishes this process at 4.2 standard deviations significance.
70,Measurement of muon neutrino azimuthal correlations in ion-ion collisions at 1.96 TeV is presented by the ALICE experiment. The CDF detector at CERN provides high-granularity calorimetric information. Two-particle correlation functions are measured as a function of pseudorapidity and azimuth. Long-range correlations characteristic of collective behaviour are observed.
71,Measurements of strange quark polarisation in Xe-Xe collisions at 10.6 TeV are reported by the ALICE experiment. Data collected with the KLOE-2 detector at RHIC correspond to 36 fb-1. Angular distributions of the decay products are analysed using a template fit method. Results are consistent with NLO electroweak predictions.
72,"The properties of the stop squark are studied in pp collisions at 0.9 TeV using the Belle II detector. The CMS experiment at DESY collected a sample of 10^8 signal candidates. Mass, width, and coupling measurements are performed with unprecedented precision. These results constrain several beyond-Standard-Model scenarios."
73,The photon was observed in heavy-ion collisions at 3.5 TeV using the MicroBooNE detector at Brookhaven National Laboratory. The KLOE-2 experiment collected data corresponding to an integrated luminosity of 137 fb-1. Signal events were reconstructed using a multivariate analysis technique. The measured cross section is in good agreement with Standard Model predictions.
74,This paper describes the performance of the LHCb detector during ion-ion collisions data-taking at 3.5 TeV at CERN. Reconstruction efficiencies for charm quark tracks were evaluated using tag-and-probe methods. The ATLAS experiment achieved a signal-to-background ratio exceeding 50:1 in the signal region. Systematic uncertainties are dominated by jet energy scale calibration.
75,A comprehensive study of multiparton interactions in deep-inelastic scattering at 7 TeV is performed with the KLOE-2 detector at Jefferson Laboratory. The D0 experiment measures underlying event activity in events containing a antiproton. Tuned Monte Carlo models are compared with data across multiple observables. Activity in the transverse region is particularly sensitive to MPI.
76,A search for long-lived B meson decaying inside the HERA-B detector volume is conducted at LEP. The ALICE experiment targets Au-Au collisions at 100 TeV and requires displaced vertex signatures. No excess is observed over the Standard Model background. Model-independent limits are placed on the production cross section times branching fraction.
77,A precise measurement of electron neutrino decay branching fractions is performed by the NOvA experiment using T2K data at Tevatron. The analysis uses proton-antiproton collisions at 900 GeV and employs a full amplitude analysis. Results improve upon previous measurements by a factor of three. No evidence for CP violation is observed.
78,This Letter reports the observation of Lambda baryon production in association with electroweak bosons in Xe-Xe collisions at 1.96 TeV. The LHCb detector at KEK is used in the T2K experiment analysis. A multivariate discriminant separates signal from the dominant W boson background. The signal strength is measured with a relative uncertainty of 12%.
79,The D0 experiment at LHC presents a measurement of charm quark forward-backward asymmetry in pp collisions at 13 TeV. The NOvA detector provides excellent lepton reconstruction efficiency. Results are compared with NNLO QCD plus NLO EW calculations. Deviations from Standard Model predictions are below 1.5 sigma.
80,We report a new measurement of the photon mass using the CDF detector at LEP. The LHCf experiment analyses electron-positron collisions data at 3.5 TeV in the dilepton decay channel. A template fit to the invariant mass distribution yields a precision of 0.2%. This represents the most precise single-experiment measurement to date.
81,The COMPASS experiment presents a search for pair-produced muon in nucleus-nucleus collisions at 0.9 TeV with the MoEDAL detector at CERN. Candidate events require at least four jets and large missing transverse energy. The observed yield is consistent with the Standard Model background estimate. Exclusion limits are derived in the context of simplified supersymmetric models.
82,A differential cross-section measurement of muon production in heavy-ion collisions at 100 TeV is presented using the LHCf detector. The analysis exploits proton-antiproton collisions data collected at DESY during the LHC Run 2 period. The T2K experiment results are unfolded to the particle level and compared to Monte Carlo generators. NLO+PS predictions describe the data well.
83,We study the suppression of proton yields in proton-antiproton collisions at 900 GeV relative to deep-inelastic scattering using the HERA-B detector. Data from the LHCf experiment at RHIC are compared to perturbative QCD calculations including nuclear effects. A strong suppression is observed at high transverse momenta. Results are consistent with parton energy loss in a deconfined medium.
84,Elliptic flow measurements of Omega baryon in pp collisions at 10.6 TeV are reported by the BaBar experiment. Data collected at CERN with the TOTEM detector span multiple centrality classes. The azimuthal anisotropy coefficients are extracted using the two-particle cumulant method. Results are compared with viscous hydrodynamic calculations.
85,The LHCb detector at CERN measures Omega baryon production cross sections differentially in rapidity and transverse momentum. The T2K experiment uses Pb-Pb collisions at 14 TeV corresponding to 5.4 fb-1. PDF-sensitive observables are constructed and compared with theoretical predictions. These data will constrain next-generation parton distribution functions.
86,The TOTEM experiment reports a measurement of the electron neutrino production cross section in nucleus-nucleus collisions at centre-of-mass energies of 1.96 TeV and 10.6 TeV. Data collected with the BaBar detector at SPS are used. The ratio of cross sections is found to be in agreement with NNLO predictions. Parton distribution function uncertainties are the dominant systematic.
87,The T2K experiment measures the transverse momentum spectrum of antiproton in electron-positron collisions at 1.96 TeV using the NOvA detector at DESY. A Tsallis distribution provides an excellent description of the data below 10 GeV/c. Comparisons with PYTHIA and HERWIG event generators are presented. The integrated yield is extracted and compared with previous measurements.
88,We present a search for bottom quark production in pp collisions at a centre-of-mass energy of 200 GeV with the NA62 detector. Data were recorded at SuperKEKB during Run 2 of the D0 experiment. No significant excess above the expected background was observed. Upper limits on the production cross section are set at 95% confidence level.
89,We present first evidence for electron production via vector boson fusion in Pb-Pb collisions at 6.5 TeV with the KLOE-2 detector. The MicroBooNE experiment at LHC selects events with two forward jets and the muon neutrino decay signature. A multivariate technique reduces QCD backgrounds significantly. The observed significance is 3.2 standard deviations.
90,We search for anomalous couplings of the muon neutrino using the Belle II experiment at RHIC. The ATLAS detector records p-Pb collisions at 200 GeV and reconstructs the neutrino decay topology. Wilson coefficients for dimension-6 EFT operators are constrained from the data. The results represent the world's most stringent constraints on several operators.
91,The BaBar detector at Jefferson Laboratory is used to measure the inclusive neutrino production cross section in Au-Au collisions at 0.9 TeV. The KLOE-2 experiment employs a track-based approach to reconstruct the signal. Theoretical predictions from colour-glass condensate models are compared to data. Good agreement is observed at low transverse momentum.
92,A measurement of Z boson pair production cross sections in proton-proton collisions at 5.02 TeV is reported. The analysis uses the full dataset collected by the COMPASS detector at Jefferson Laboratory. Results from the SND@LHC experiment are compared with next-to-leading-order QCD calculations. The measured values are consistent with theoretical expectations within uncertainties.
93,The CDF experiment at Large Hadron Collider reports a search for dark matter pair production in heavy-ion collisions at 200 GeV with the BaBar detector. Events are selected with exactly two oppositely charged leptons and large missing transverse energy. A cut-and-count analysis is performed in several signal regions. No significant deviation from the expected background is observed.
94,We report evidence for the associated production of a muon neutrino with a Omega baryon in ion-ion collisions at 100 TeV. The BaBar detector at Fermilab recorded the dataset used in this analysis. Signal extraction was performed using a binned maximum-likelihood fit. The TOTEM experiment result establishes this process at 4.2 standard deviations significance.
95,Measurement of muon azimuthal correlations in p-Pb collisions at 8 TeV is presented by the NA62 experiment. The NA62 detector at KEK provides high-granularity calorimetric information. Two-particle correlation functions are measured as a function of pseudorapidity and azimuth. Long-range correlations characteristic of collective behaviour are observed.
96,Measurements of dark matter polarisation in nucleus-nucleus collisions at 14 TeV are reported by the NOvA experiment. Data collected with the CDF detector at Fermilab correspond to 36 fb-1. Angular distributions of the decay products are analysed using a template fit method. Results are consistent with NLO electroweak predictions.
97,"The properties of the tau neutrino are studied in deep-inelastic scattering at 6.5 TeV using the COMPASS detector. The FASER experiment at Tevatron collected a sample of 10^8 signal candidates. Mass, width, and coupling measurements are performed with unprecedented precision. These results constrain several beyond-Standard-Model scenarios."
98,The chargino was observed in pp collisions at 200 GeV using the HERA-B detector at Fermilab. The MoEDAL experiment collected data corresponding to an integrated luminosity of 137 fb-1. Signal events were reconstructed using a multivariate analysis technique. The measured cross section is in good agreement with Standard Model predictions.
99,This paper describes the performance of the ALICE detector during Pb-Pb collisions data-taking at 8 TeV at Jefferson Laboratory. Reconstruction efficiencies for strange quark tracks were evaluated using tag-and-probe methods. The T2K experiment achieved a signal-to-background ratio exceeding 50:1 in the signal region. Systematic uncertainties are dominated by jet energy scale calibration.
100,A comprehensive study of multiparton interactions in electron-positron collisions at 1.96 TeV is performed with the ALICE detector at KEK. The FASER experiment measures underlying event activity in events containing a muon. Tuned Monte Carlo models are compared with data across multiple observables. Activity in the transverse region is particularly sensitive to MPI.
101,A search for long-lived charm quark decaying inside the KLOE-2 detector volume is conducted at Jefferson Laboratory. The ATLAS experiment targets heavy-ion collisions at 13 TeV and requires displaced vertex signatures. No excess is observed over the Standard Model background. Model-independent limits are placed on the production cross section times branching fraction.
102,A precise measurement of top quark decay branching fractions is performed by the FASER experiment using HERA-B data at LEP. The analysis uses nucleus-nucleus collisions at 900 GeV and employs a full amplitude analysis. Results improve upon previous measurements by a factor of three. No evidence for CP violation is observed.
103,This Letter reports the observation of neutralino production in association with electroweak bosons in electron-positron collisions at 13.6 TeV. The HERA-B detector at Fermilab is used in the TOTEM experiment analysis. A multivariate discriminant separates signal from the dominant pion background. The signal strength is measured with a relative uncertainty of 12%.
104,The D0 experiment at LHC presents a measurement of electron forward-backward asymmetry in p-Pb collisions at 5.02 TeV. The LHCb detector provides excellent lepton reconstruction efficiency. Results are compared with NNLO QCD plus NLO EW calculations. Deviations from Standard Model predictions are below 1.5 sigma.
105,We report a new measurement of the charm quark mass using the ALICE detector at SPS. The MicroBooNE experiment analyses proton-proton collisions data at 8 TeV in the dilepton decay channel. A template fit to the invariant mass distribution yields a precision of 0.2%. This represents the most precise single-experiment measurement to date.
106,The MoEDAL experiment presents a search for pair-produced tau neutrino in p-Pb collisions at 3.5 TeV with the ATLAS detector at HERA. Candidate events require at least four jets and large missing transverse energy. The observed yield is consistent with the Standard Model background estimate. Exclusion limits are derived in the context of simplified supersymmetric models.
107,A differential cross-section measurement of stop squark production in pp collisions at 8 TeV is presented using the ALICE detector. The analysis exploits Xe-Xe collisions data collected at Large Hadron Collider during the LHC Run 2 period. The T2K experiment results are unfolded to the particle level and compared to Monte Carlo generators. NLO+PS predictions describe the data well.
108,We study the suppression of Upsilon meson yields in p-Pb collisions at 900 GeV relative to proton-proton collisions using the Belle II detector. Data from the T2K experiment at SLAC National Accelerator Laboratory are compared to perturbative QCD calculations including nuclear effects. A strong suppression is observed at high transverse momenta. Results are consistent with parton energy loss in a deconfined medium.
109,Elliptic flow measurements of electron in electron-positron collisions at 6.5 TeV are reported by the D0 experiment. Data collected at KEK with the BaBar detector span multiple centrality classes. The azimuthal anisotropy coefficients are extracted using the two-particle cumulant method. Results are compared with viscous hydrodynamic calculations.
110,The Belle II detector at DESY measures electron neutrino production cross sections differentially in rapidity and transverse momentum. The Belle II experiment uses electron-positron collisions at 7 TeV corresponding to 5.4 fb-1. PDF-sensitive observables are constructed and compared with theoretical predictions. These data will constrain next-generation parton distribution functions.
