ID,Tokens,Labels
8,momenta,O
8,.,O
8,Results,O
8,are,O
8,consistent,O
8,with,O
8,parton,O
8,energy,O
8,loss,O
8,in,O
8,a,O
8,deconfined,O
8,medium,O
8,.,O
9,Elliptic,O
9,flow,O
9,measurements,O
9,of,O
9,proton,B-PARTICLE
9,in,O
9,heavy-ion,B-COLLISION
9,collisions,I-COLLISION
9,at,O
9,100,B-ENERGY
9,TeV,I-ENERGY
9,are,O
9,reported,O
9,by,O
9,the,O
9,LHCf,B-EXPERIMENT
9,experiment,I-EXPERIMENT
9,.,O
9,Data,O
9,collected,O
9,at,O
9,HERA,B-FACILITY
9,with,O
9,the,O
9,ALICE,B-DETECTOR
9,detector,O
9,span,O
9,multiple,O
9,centrality,O
9,classes,O
9,.,O
9,The,O
9,azimuthal,O
9,anisotropy,O
9,coefficients,O
9,are,O
9,extracted,O
9,using,O
9,the,O
9,two-particle,O
9,cumulant,O
9,method,O
9,.,O
9,Results,O
9,are,O
9,compared,O
9,with,O
9,viscous,O
9,hydrodynamic,O
9,calculations,O
9,.,O
10,The,O
10,NA62,B-DETECTOR
10,detector,O
10,at,O
10,SuperKEKB,B-FACILITY
10,measures,O
10,gluon,B-PARTICLE
10,production,O
10,cross,O
10,sections,O
10,differentially,O
10,in,O
10,rapidity,O
10,and,O
10,transverse,O
10,momentum,O
10,.,O
10,The,O
10,BaBar,B-EXPERIMENT
10,experiment,I-EXPERIMENT
10,uses,O
10,Xe-Xe,B-COLLISION
10,collisions,I-COLLISION
10,at,O
10,10.6,B-ENERGY
10,TeV,I-ENERGY
10,corresponding,O
10,to,O
10,5.4,O
10,fb-1,O
10,.,O
10,PDF-sensitive,O
10,observables,O
10,are,O
10,constructed,O
10,and,O
10,compared,O
10,with,O
10,theoretical,O
10,predictions,O
10,.,O
10,These,O
10,data,O
10,will,O
10,constrain,O
10,next-generation,O
10,parton,O
10,distribution,O
10,functions,O
10,.,O
11,The,O
11,KLOE-2,B-EXPERIMENT
11,experiment,I-EXPERIMENT
11,reports,O
11,a,O
11,measurement,O
11,of,O
11,the,O
11,tau,B-PARTICLE
11,lepton,I-PARTICLE
11,production,O
11,cross,O
11,section,O
11,in,O
11,proton-proton,B-COLLISION
11,collisions,I-COLLISION
11,at,O
11,centre-of-mass,O
11,energies,O
11,of,O
11,7,B-ENERGY
11,TeV,I-ENERGY
11,and,O
11,6.5,B-ENERGY
11,TeV,I-ENERGY
11,.,O
11,Data,O
11,collected,O
11,with,O
11,the,O
11,ATLAS,B-DETECTOR
11,detector,O
11,at,O
11,Brookhaven,B-FACILITY
11,National,I-FACILITY
11,Laboratory,I-FACILITY
11,are,O
11,used,O
11,.,O
11,The,O
11,ratio,O
11,of,O
11,cross,O
11,sections,O
11,is,O
11,found,O
11,to,O
11,be,O
11,in,O
11,agreement,O
11,with,O
11,NNLO,O
11,predictions,O
11,.,O
11,Parton,O
11,distribution,O
11,function,O
11,uncertainties,O
11,are,O
11,the,O
11,dominant,O
11,systematic,O
11,.,O
12,The,O
12,KLOE-2,B-EXPERIMENT
12,experiment,I-EXPERIMENT
12,measures,O
12,the,O
12,transverse,O
12,momentum,O
12,spectrum,O
12,of,O
12,Xi,B-PARTICLE
12,baryon,I-PARTICLE
12,in,O
12,electron-positron,B-COLLISION
12,collisions,I-COLLISION
12,at,O
12,6.5,B-ENERGY
12,TeV,I-ENERGY
12,using,O
12,the,O
12,KLOE-2,B-DETECTOR
12,detector,O
12,at,O
12,LHC,B-FACILITY
12,.,O
12,A,O
12,Tsallis,O
12,distribution,O
12,provides,O
12,an,O
12,excellent,O
12,description,O
12,of,O
12,the,O
12,data,O
12,below,O
12,10,O
12,GeV/c,O
12,.,O
12,Comparisons,O
12,with,O
12,PYTHIA,O
12,and,O
12,HERWIG,O
12,event,O
12,generators,O
12,are,O
12,presented,O
12,.,O
12,The,O
12,integrated,O
12,yield,O
12,is,O
12,extracted,O
12,and,O
12,compared,O
12,with,O
12,previous,O
12,measurements,O
12,.,O
13,We,O
13,present,O
13,a,O
13,search,O
13,for,O
13,antiproton,B-PARTICLE
13,production,O
13,in,O
13,proton-proton,B-COLLISION
13,collisions,I-COLLISION
13,at,O
13,a,O
13,centre-of-mass,O
13,energy,O
13,of,O
13,1.96,B-ENERGY
13,TeV,I-ENERGY
13,with,O
13,the,O
13,SND@LHC,B-DETECTOR
13,detector,O
13,.,O
13,Data,O
13,were,O
13,recorded,O
13,at,O
13,LHC,B-FACILITY
13,during,O
13,Run,O
13,2,O
13,of,O
13,the,O
13,ALICE,B-EXPERIMENT
13,experiment,I-EXPERIMENT
13,.,O
13,No,O
13,significant,O
13,excess,O
13,above,O
13,the,O
13,expected,O
13,background,O
13,was,O
13,observed,O
13,.,O
13,Upper,O
13,limits,O
13,on,O
13,the,O
13,production,O
13,cross,O
13,section,O
13,are,O
13,set,O
13,at,O
1300%,95%,O
13,confidence,O
13,level,O
13,.,O
14,We,O
14,present,O
14,first,O
14,evidence,O
14,for,O
14,antiproton,B-PARTICLE
14,production,O
14,via,O
14,vector,O
14,boson,O
14,fusion,O
14,in,O
14,proton-proton,B-COLLISION
14,collisions,I-COLLISION
14,at,O
14,10.6,B-ENERGY
14,TeV,I-ENERGY
14,with,O
14,the,O
14,MicroBooNE,B-DETECTOR
14,detector,O
14,.,O
14,The,O
14,ATLAS,B-EXPERIMENT
14,experiment,I-EXPERIMENT
14,at,O
14,Large,B-FACILITY
14,Hadron,I-FACILITY
14,Collider,I-FACILITY
14,selects,O
14,events,O
14,with,O
14,two,O
14,forward,O
14,jets,O
14,and,O
14,the,O
14,Xi,B-PARTICLE
14,baryon,I-PARTICLE
14,decay,O
14,signature,O
14,.,O
14,A,O
14,multivariate,O
14,technique,O
14,reduces,O
14,QCD,O
14,backgrounds,O
14,significantly,O
14,.,O
14,The,O
14,observed,O
14,significance,O
14,is,O
14,3.2,O
14,standard,O
14,deviations,O
14,.,O
15,We,O
15,search,O
15,for,O
15,anomalous,O
15,couplings,O
15,of,O
15,the,O
15,Lambda,B-PARTICLE
15,baryon,I-PARTICLE
15,using,O
15,the,O
15,BaBar,B-EXPERIMENT
15,experiment,I-EXPERIMENT
15,at,O
15,DESY,B-FACILITY
15,.,O
15,The,O
15,MicroBooNE,B-DETECTOR
15,detector,O
15,records,O
15,ion-ion,B-COLLISION
15,collisions,I-COLLISION
15,at,O
15,100,B-ENERGY
15,TeV,I-ENERGY
15,and,O
15,reconstructs,O
15,the,O
15,kaon,B-PARTICLE
15,decay,O
15,topology,O
15,.,O
15,Wilson,O
15,coefficients,O
15,for,O
15,dimension-6,O
15,EFT,O
15,operators,O
15,are,O
15,constrained,O
15,from,O
15,the,O
15,data,O
15,.,O
15,The,O
15,results,O
15,represent,O
15,the,O
15,world's,O
15,most,O
15,stringent,O
15,constraints,O
15,on,O
15,several,O
15,operators,O
15,.,O
16,The,O
16,KLOE-2,B-DETECTOR
16,detector,O
16,at,O
16,Tevatron,B-FACILITY
16,is,O
16,used,O
16,to,O
16,measure,O
16,the,O
16,inclusive,O
16,W,B-PARTICLE
16,boson,I-PARTICLE
16,production,O
16,cross,O
16,section,O
16,in,O
16,proton-proton,B-COLLISION
16,collisions,I-COLLISION
16,at,O
16,200,B-ENERGY
16,GeV,I-ENERGY
16,.,O
16,The,O
16,TOTEM,B-EXPERIMENT
16,experiment,I-EXPERIMENT
16,employs,O
16,a,O
16,track-based,O
16,approach,O
16,to,O
16,reconstruct,O
16,the,O
16,signal,O
16,.,O
16,Theoretical,O
16,predictions,O
16,from,O
16,colour-glass,O
16,condensate,O
16,models,O
16,are,O
16,compared,O
16,to,O
16,data,O
16,.,O
16,Good,O
16,agreement,O
16,is,O
16,observed,O
16,at,O
16,low,O
16,transverse,O
16,momentum,O
16,.,O
17,A,O
17,measurement,O
17,of,O
17,neutrino,B-PARTICLE
17,pair,O
17,production,O
17,cross,O
17,sections,O
17,in,O
17,nucleus-nucleus,B-COLLISION
17,collisions,I-COLLISION
17,at,O
17,7,B-ENERGY
17,TeV,I-ENERGY
17,is,O
17,reported,O
17,.,O
17,The,O
17,analysis,O
17,uses,O
17,the,O
17,full,O
17,dataset,O
17,collected,O
17,by,O
17,the,O
17,HERA-B,B-DETECTOR
17,detector,O
17,at,O
17,LEP,B-FACILITY
17,.,O
17,Results,O
17,from,O
17,the,O
17,KLOE-2,B-EXPERIMENT
17,experiment,I-EXPERIMENT
17,are,O
17,compared,O
17,with,O
17,next-to-leading-order,O
17,QCD,O
17,calculations,O
17,.,O
17,The,O
17,measured,O
17,values,O
17,are,O
17,consistent,O
17,with,O
17,theoretical,O
17,expectations,O
17,within,O
17,uncertainties,O
17,.,O
18,The,O
18,MicroBooNE,B-EXPERIMENT
18,experiment,I-EXPERIMENT
18,at,O
18,KEK,B-FACILITY
18,reports,O
18,a,O
18,search,O
18,for,O
18,electron,B-PARTICLE
18,pair,O
18,production,O
18,in,O
18,proton-proton,B-COLLISION
18,collisions,I-COLLISION
18,at,O
18,900,B-ENERGY
18,GeV,I-ENERGY
18,with,O
18,the,O
18,T2K,B-DETECTOR
18,detector,O
18,.,O
18,Events,O
18,are,O
18,selected,O
18,with,O
18,exactly,O
18,two,O
18,oppositely,O
18,charged,O
18,leptons,O
18,and,O
18,large,O
18,missing,O
18,transverse,O
18,energy,O
18,.,O
18,A,O
18,cut-and-count,O
18,analysis,O
18,is,O
18,performed,O
18,in,O
18,several,O
18,signal,O
18,regions,O
18,.,O
18,No,O
18,significant,O
18,deviation,O
18,from,O
18,the,O
18,expected,O
18,background,O
18,is,O
18,observed,O
18,.,O
19,We,O
19,report,O
19,evidence,O
19,for,O
19,the,O
19,associated,O
19,production,O
19,of,O
19,a,O
19,W,B-PARTICLE
19,boson,I-PARTICLE
19,with,O
19,a,O
19,kaon,B-PARTICLE
19,in,O
19,pp,B-COLLISION
19,collisions,I-COLLISION
19,at,O
19,100,B-ENERGY
19,TeV,I-ENERGY
19,.,O
19,The,O
19,FASER,B-DETECTOR
19,detector,O
19,at,O
19,RHIC,B-FACILITY
19,recorded,O
19,the,O
19,dataset,O
19,used,O
19,in,O
19,this,O
19,analysis,O
19,.,O
19,Signal,O
19,extraction,O
19,was,O
19,performed,O
19,using,O
19,a,O
19,binned,O
19,maximum-likelihood,O
19,fit,O
19,.,O
19,The,O
19,SND@LHC,B-EXPERIMENT
19,experiment,I-EXPERIMENT
19,result,O
19,establishes,O
19,this,O
19,process,O
19,at,O
19,4.2,O
19,standard,O
19,deviations,O
19,significance,O
19,.,O
20,Measurement,O
20,of,O
20,strange,B-PARTICLE
20,quark,I-PARTICLE
20,azimuthal,O
20,correlations,O
20,in,O
20,proton-antiproton,B-COLLISION
20,collisions,I-COLLISION
20,at,O
20,8,B-ENERGY
20,TeV,I-ENERGY
20,is,O
20,presented,O
20,by,O
20,the,O
20,MoEDAL,B-EXPERIMENT
20,experiment,I-EXPERIMENT
20,.,O
20,The,O
20,SND@LHC,B-DETECTOR
20,detector,O
20,at,O
20,Brookhaven,B-FACILITY
20,National,I-FACILITY
20,Laboratory,I-FACILITY
20,provides,O
20,high-granularity,O
20,calorimetric,O
20,information,O
20,.,O
20,Two-particle,O
20,correlation,O
20,functions,O
20,are,O
20,measured,O
20,as,O
20,a,O
20,function,O
20,of,O
20,pseudorapidity,O
20,and,O
20,azimuth,O
20,.,O
20,Long-range,O
20,correlations,O
20,characteristic,O
20,of,O
20,collective,O
20,behaviour,O
20,are,O
20,observed,O
20,.,O
21,Measurements,O
21,of,O
21,charm,B-PARTICLE
21,quark,I-PARTICLE
21,polarisation,O
21,in,O
21,ion-ion,B-COLLISION
21,collisions,I-COLLISION
21,at,O
21,8,B-ENERGY
21,TeV,I-ENERGY
21,are,O
21,reported,O
21,by,O
21,the,O
21,NA62,B-EXPERIMENT
21,experiment,I-EXPERIMENT
21,.,O
21,Data,O
21,collected,O
21,with,O
21,the,O
21,COMPASS,B-DETECTOR
21,detector,O
21,at,O
21,Tevatron,B-FACILITY
21,correspond,O
21,to,O
21,36,O
21,fb-1,O
21,.,O
21,Angular,O
21,distributions,O
21,of,O
21,the,O
21,decay,O
21,products,O
21,are,O
21,analysed,O
21,using,O
21,a,O
21,template,O
21,fit,O
21,method,O
21,.,O
21,Results,O
21,are,O
21,consistent,O
21,with,O
21,NLO,O
21,electroweak,O
21,predictions,O
21,.,O
22,The,O
22,properties,O
22,of,O
22,the,O
22,strange,B-PARTICLE
22,quark,I-PARTICLE
22,are,O
22,studied,O
22,in,O
22,Xe-Xe,B-COLLISION
22,collisions,I-COLLISION
22,at,O
22,14,B-ENERGY
22,TeV,I-ENERGY
22,using,O
22,the,O
22,ATLAS,B-DETECTOR
22,detector,O
22,.,O
22,The,O
22,BaBar,B-EXPERIMENT
22,experiment,I-EXPERIMENT
22,at,O
22,KEK,B-FACILITY
22,collected,O
22,a,O
22,sample,O
22,of,O
22,10^8,O
22,signal,O
22,candidates,O
22,.,O
22,Mass,O
22,",",O
22,width,O
22,",",O
22,and,O
22,coupling,O
22,measurements,O
22,are,O
22,performed,O
22,with,O
22,unprecedented,O
22,precision,O
22,.,O
22,These,O
22,results,O
22,constrain,O
22,several,O
22,beyond-Standard-Model,O
22,scenarios,O
22,.,O
23,The,O
23,kaon,B-PARTICLE
23,was,O
23,observed,O
23,in,O
23,Pb-Pb,B-COLLISION
23,collisions,I-COLLISION
23,at,O
23,6.5,B-ENERGY
23,TeV,I-ENERGY
23,using,O
23,the,O
23,D0,B-DETECTOR
23,detector,O
23,at,O
23,SuperKEKB,B-FACILITY
23,.,O
23,The,O
23,T2K,B-EXPERIMENT
23,experiment,I-EXPERIMENT
23,collected,O
23,data,O
23,corresponding,O
23,to,O
23,an,O
23,integrated,O
23,luminosity,O
23,of,O
23,137,O
23,fb-1,O
23,.,O
23,Signal,O
23,events,O
23,were,O
23,reconstructed,O
23,using,O
23,a,O
23,multivariate,O
23,analysis,O
23,technique,O
23,.,O
23,The,O
23,measured,O
23,cross,O
23,section,O
23,is,O
23,in,O
23,good,O
23,agreement,O
23,with,O
23,Standard,O
23,Model,O
23,predictions,O
23,.,O
24,This,O
24,paper,O
24,describes,O
24,the,O
24,performance,O
24,of,O
24,the,O
24,ATLAS,B-DETECTOR
24,detector,O
24,during,O
24,Au-Au,B-COLLISION
24,collisions,I-COLLISION
24,data-taking,O
24,at,O
24,5.02,B-ENERGY
24,TeV,I-ENERGY
24,at,O
24,Brookhaven,B-FACILITY
24,National,I-FACILITY
24,Laboratory,I-FACILITY
24,.,O
24,Reconstruction,O
24,efficiencies,O
24,for,O
24,Lambda,B-PARTICLE
24,baryon,I-PARTICLE
24,tracks,O
24,were,O
24,evaluated,O
24,using,O
24,tag-and-probe,O
24,methods,O
24,.,O
24,The,O
24,D0,B-EXPERIMENT
24,experiment,I-EXPERIMENT
24,achieved,O
24,a,O
24,signal-to-background,O
24,ratio,O
24,exceeding,O
24,50:1,O
24,in,O
24,the,O
24,signal,O
24,region,O
24,.,O
24,Systematic,O
24,uncertainties,O
24,are,O
24,dominated,O
24,by,O
24,jet,O
24,energy,O
24,scale,O
24,calibration,O
24,.,O
25,A,O
25,comprehensive,O
25,study,O
25,of,O
25,multiparton,O
25,interactions,O
25,in,O
25,p-Pb,B-COLLISION
25,collisions,I-COLLISION
25,at,O
25,10.6,B-ENERGY
25,TeV,I-ENERGY
25,is,O
25,performed,O
25,with,O
25,the,O
25,LHCf,B-DETECTOR
25,detector,O
25,at,O
25,DESY,B-FACILITY
25,.,O
25,The,O
25,COMPASS,B-EXPERIMENT
25,experiment,I-EXPERIMENT
25,measures,O
25,underlying,O
25,event,O
25,activity,O
25,in,O
25,events,O
25,containing,O
25,a,O
25,dark,B-PARTICLE
25,matter,I-PARTICLE
25,.,O
25,Tuned,O
25,Monte,O
25,Carlo,O
25,models,O
25,are,O
25,compared,O
25,with,O
25,data,O
25,across,O
25,multiple,O
25,observables,O
25,.,O
25,Activity,O
25,in,O
25,the,O
25,transverse,O
25,region,O
25,is,O
25,particularly,O
25,sensitive,O
25,to,O
25,MPI,O
25,.,O
26,A,O
26,search,O
26,for,O
26,long-lived,O
26,electron,B-PARTICLE
26,neutrino,I-PARTICLE
26,decaying,O
26,inside,O
26,the,O
26,HERA-B,B-DETECTOR
26,detector,O
26,volume,O
26,is,O
26,conducted,O
26,at,O
26,RHIC,B-FACILITY
26,.,O
26,The,O
26,SND@LHC,B-EXPERIMENT
26,experiment,I-EXPERIMENT
26,targets,O
26,heavy-ion,B-COLLISION
26,collisions,I-COLLISION
26,at,O
26,1.96,B-ENERGY
26,TeV,I-ENERGY
26,and,O
26,requires,O
26,displaced,O
26,vertex,O
26,signatures,O
26,.,O
26,No,O
26,excess,O
26,is,O
26,observed,O
26,over,O
26,the,O
26,Standard,O
26,Model,O
26,background,O
26,.,O
26,Model-independent,O
26,limits,O
26,are,O
26,placed,O
26,on,O
26,the,O
26,production,O
26,cross,O
26,section,O
26,times,O
26,branching,O
26,fraction,O
26,.,O
27,A,O
27,precise,O
27,measurement,O
27,of,O
27,dark,B-PARTICLE
27,matter,I-PARTICLE
27,decay,O
27,branching,O
27,fractions,O
27,is,O
27,performed,O
27,by,O
27,the,O
27,CDF,B-EXPERIMENT
27,experiment,I-EXPERIMENT
27,using,O
27,LHCb,B-DETECTOR
27,data,O
27,at,O
27,SPS,B-FACILITY
27,.,O
27,The,O
27,analysis,O
27,uses,O
27,proton-antiproton,B-COLLISION
27,collisions,I-COLLISION
27,at,O
27,200,B-ENERGY
27,GeV,I-ENERGY
27,and,O
27,employs,O
27,a,O
27,full,O
27,amplitude,O
27,analysis,O
27,.,O
27,Results,O
27,improve,O
27,upon,O
27,previous,O
27,measurements,O
27,by,O
27,a,O
27,factor,O
27,of,O
27,three,O
27,.,O
27,No,O
27,evidence,O
27,for,O
27,CP,O
27,violation,O
27,is,O
27,observed,O
27,.,O
28,This,O
28,Letter,O
28,reports,O
28,the,O
28,observation,O
28,of,O
28,muon,B-PARTICLE
28,neutrino,I-PARTICLE
28,production,O
28,in,O
28,association,O
28,with,O
28,electroweak,O
28,bosons,O
28,in,O
28,Xe-Xe,B-COLLISION
28,collisions,I-COLLISION
28,at,O
28,200,B-ENERGY
28,GeV,I-ENERGY
28,.,O
28,The,O
28,CMS,B-DETECTOR
28,detector,O
28,at,O
28,SLAC,B-FACILITY
28,National,I-FACILITY
28,Accelerator,I-FACILITY
28,Laboratory,I-FACILITY
28,is,O
28,used,O
28,in,O
28,the,O
28,BaBar,B-EXPERIMENT
28,experiment,I-EXPERIMENT
28,analysis,O
28,.,O
28,A,O
28,multivariate,O
28,discriminant,O
28,separates,O
28,signal,O
28,from,O
28,the,O
28,dominant,O
28,antiproton,B-PARTICLE
28,background,O
28,.,O
28,The,O
28,signal,O
28,strength,O
28,is,O
28,measured,O
28,with,O
28,a,O
28,relative,O
28,uncertainty,O
28,of,O
2800%,12%,O
28,.,O
29,The,O
29,BaBar,B-EXPERIMENT
29,experiment,I-EXPERIMENT
29,at,O
29,Tevatron,B-FACILITY
29,presents,O
29,a,O
29,measurement,O
29,of,O
29,dark,B-PARTICLE
29,matter,I-PARTICLE
29,forward-backward,O
29,asymmetry,O
29,in,O
29,heavy-ion,B-COLLISION
29,collisions,I-COLLISION
29,at,O
29,3.5,B-ENERGY
29,TeV,I-ENERGY
29,.,O
29,The,O
29,TOTEM,B-DETECTOR
29,detector,O
29,provides,O
29,excellent,O
29,lepton,O
29,reconstruction,O
29,efficiency,O
29,.,O
29,Results,O
29,are,O
29,compared,O
29,with,O
29,NNLO,O
29,QCD,O
29,plus,O
29,NLO,O
29,EW,O
29,calculations,O
29,.,O
29,Deviations,O
29,from,O
29,Standard,O
29,Model,O
29,predictions,O
29,are,O
29,below,O
29,1.5,O
29,sigma,O
29,.,O
30,We,O
30,report,O
30,a,O
30,new,O
30,measurement,O
30,of,O
30,the,O
30,gluon,B-PARTICLE
30,mass,O
30,using,O
30,the,O
30,BaBar,B-DETECTOR
30,detector,O
30,at,O
30,Jefferson,B-FACILITY
30,Laboratory,I-FACILITY
30,.,O
30,The,O
30,NOvA,B-EXPERIMENT
30,experiment,I-EXPERIMENT
30,analyses,O
30,electron-positron,B-COLLISION
30,collisions,I-COLLISION
30,data,O
30,at,O
30,14,B-ENERGY
30,TeV,I-ENERGY
30,in,O
30,the,O
30,dilepton,O
30,decay,O
30,channel,O
30,.,O
